Date,Time,Visitor Team,VisitorPts,Home Team,HomePts,Score Type,OT,Attend,Notes,HomeWin,HomeNumWins,VisitorNumWins,HomeWins2020,VisitorWins2020
"Wed, Jan 6, 2021",9:00p,Toronto Raptors,115,Phoenix Suns,123,Box Score,,0,,1,54,59,34,53
"Wed, Jan 6, 2021",10:00p,Los Angeles Clippers,108,Golden State Warriors,101,Box Score,,0,,0,55,59,15,49
"Wed, Jan 6, 2021",10:00p,Chicago Bulls,124,Sacramento Kings,128,Box Score,,0,,1,55,60,31,22
"Thu, Jan 7, 2021",7:30p,Philadelphia 76ers,109,Brooklyn Nets,122,Box Score,,0,,1,56,60,35,43
"Thu, Jan 7, 2021",8:00p,Cleveland Cavaliers,94,Memphis Grizzlies,90,Box Score,,0,,0,57,60,34,19
"Thu, Jan 7, 2021",10:00p,Dallas Mavericks,124,Denver Nuggets,117,Box Score,OT,0,,0,57,61,46,43
"Thu, Jan 7, 2021",10:00p,San Antonio Spurs,118,Los Angeles Lakers,109,Box Score,,0,,0,57,62,52,32
"Thu, Jan 7, 2021",10:00p,Minnesota Timberwolves,117,Portland Trail Blazers,135,Box Score,,0,,1,57,63,35,19
"Fri, Jan 8, 2021",7:00p,Phoenix Suns,105,Detroit Pistons,110,Box Score,OT,0,,1,58,63,20,34
"Fri, Jan 8, 2021",7:30p,Washington Wizards,107,Boston Celtics,116,Box Score,,0,,1,59,63,48,25
"Fri, Jan 8, 2021",7:30p,Charlotte Hornets,118,New Orleans Pelicans,110,Box Score,,750,,0,60,63,30,23
"Fri, Jan 8, 2021",7:30p,Oklahoma City Thunder,101,New York Knicks,89,Box Score,,0,,0,60,64,21,44
"Fri, Jan 8, 2021",8:00p,Orlando Magic,90,Houston Rockets,132,Box Score,,"3,039",,1,60,65,44,33
"Fri, Jan 8, 2021",8:00p,Brooklyn Nets,110,Memphis Grizzlies,115,Box Score,,0,,1,61,65,34,35
"Fri, Jan 8, 2021",8:00p,Utah Jazz,131,Milwaukee Bucks,118,Box Score,,0,,0,62,65,56,44
"Fri, Jan 8, 2021",10:00p,Los Angeles Clippers,105,Golden State Warriors,115,Box Score,,0,,1,62,66,15,49
"Fri, Jan 8, 2021",10:00p,Chicago Bulls,115,Los Angeles Lakers,117,Box Score,,0,,1,63,66,52,22
"Fri, Jan 8, 2021",10:00p,Toronto Raptors,144,Sacramento Kings,123,Box Score,,0,,0,64,66,31,53
"Sat, Jan 9, 2021",3:00p,Denver Nuggets,115,Philadelphia 76ers,103,Box Score,,0,,0,64,67,43,46
