Date,Time,Visitor Team,VisitorPts,Home Team,HomePts,Score Type,OT,Attend,Notes,HomeWin,HomeNumWins,VisitorNumWins,HomeWins2020,VisitorWins2020,HomeWinsBeforeAll,VisitorWinsBeforeAll
"Sat, Jan 2, 2021",5:00p,Sacramento Kings,94,Houston Rockets,102,Box Score,,"3,065",,1,37,40,44,31,34,21
"Sat, Jan 2, 2021",7:00p,New York Knicks,106,Indiana Pacers,102,Box Score,,0,,0,38,40,45,21,32,17
"Sat, Jan 2, 2021",7:00p,Oklahoma City Thunder,108,Orlando Magic,99,Box Score,,"3,339",,0,38,41,33,44,24,33
"Sat, Jan 2, 2021",7:00p,Charlotte Hornets,112,Philadelphia 76ers,127,Box Score,,0,,1,38,42,43,23,34,18
"Sat, Jan 2, 2021",7:30p,Cleveland Cavaliers,96,Atlanta Hawks,91,Box Score,,0,,0,39,42,20,19,15,14
"Sat, Jan 2, 2021",7:30p,Toronto Raptors,116,New Orleans Pelicans,120,Box Score,,750,,1,39,43,30,53,23,40
"Sun, Jan 3, 2021",3:00p,Boston Celtics,122,Detroit Pistons,120,Box Score,,0,,0,40,43,20,48,19,38
"Sun, Jan 3, 2021",6:00p,Washington Wizards,123,Brooklyn Nets,122,Box Score,,0,,0,40,44,35,25,25,20
"Sun, Jan 3, 2021",6:00p,Los Angeles Lakers,108,Memphis Grizzlies,94,Box Score,,0,,0,40,45,34,52,28,41
"Sun, Jan 3, 2021",7:00p,Denver Nuggets,124,Minnesota Timberwolves,109,Box Score,,0,,0,40,46,19,46,16,38
"Sun, Jan 3, 2021",7:00p,Utah Jazz,130,San Antonio Spurs,109,Box Score,,0,,0,40,47,32,44,23,36
"Sun, Jan 3, 2021",8:00p,Dallas Mavericks,108,Chicago Bulls,118,Box Score,,0,,1,40,48,22,43,19,33
"Sun, Jan 3, 2021",8:00p,Los Angeles Clippers,112,Phoenix Suns,107,Box Score,,0,,0,41,48,34,49,22,37
"Sun, Jan 3, 2021",8:30p,Portland Trail Blazers,122,Golden State Warriors,137,Box Score,,0,,1,41,49,15,35,12,25
"Mon, Jan 4, 2021",7:00p,Cleveland Cavaliers,83,Orlando Magic,103,Box Score,,"2,726",,1,42,49,33,19,24,14
"Mon, Jan 4, 2021",7:00p,Charlotte Hornets,101,Philadelphia 76ers,118,Box Score,,0,,1,43,49,43,23,34,18
"Mon, Jan 4, 2021",7:30p,New York Knicks,113,Atlanta Hawks,108,Box Score,,0,,0,44,49,20,21,15,17
"Mon, Jan 4, 2021",7:30p,Oklahoma City Thunder,90,Miami Heat,118,Box Score,,0,,1,44,50,44,44,35,33
"Mon, Jan 4, 2021",7:30p,Boston Celtics,126,Toronto Raptors,114,Box Score,,"3,740",,0,45,50,53,48,40,38
"Mon, Jan 4, 2021",8:00p,Dallas Mavericks,113,Houston Rockets,100,Box Score,,"3,070",,0,45,51,44,43,34,33
"Mon, Jan 4, 2021",8:00p,Detroit Pistons,115,Milwaukee Bucks,125,Box Score,,0,,1,45,52,56,20,46,19
"Mon, Jan 4, 2021",8:00p,Indiana Pacers,118,New Orleans Pelicans,116,Box Score,OT,750,,0,46,52,30,45,23,32
"Mon, Jan 4, 2021",10:00p,Sacramento Kings,106,Golden State Warriors,137,Box Score,,0,,1,46,53,15,31,12,21
"Tue, Jan 5, 2021",7:30p,Utah Jazz,96,Brooklyn Nets,130,Box Score,,0,,1,47,53,35,44,25,36
"Tue, Jan 5, 2021",8:00p,Los Angeles Lakers,94,Memphis Grizzlies,92,Box Score,,0,,0,48,53,34,52,28,41
"Tue, Jan 5, 2021",9:00p,Minnesota Timberwolves,116,Denver Nuggets,123,Box Score,,0,,1,48,54,46,19,38,16
"Tue, Jan 5, 2021",10:00p,San Antonio Spurs,116,Los Angeles Clippers,113,Box Score,,0,,0,49,54,49,32,37,23
"Tue, Jan 5, 2021",10:30p,Chicago Bulls,111,Portland Trail Blazers,108,Box Score,,0,,0,49,55,35,22,25,19
